season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_PHI_CHI,2026-09-28,00-0037132,Britain Covey,WR,PHI,CHI,0,-4.5,41.5,23.0,7.0,False,0.0,0.18333333333333335,0.0,,,50,2,0.95,-0.03,2.11,0.95,,upcoming,,half_ppr,depth_rank_filled=7 (-1.4); snap_pct_last=0 (-0.5); fp_season_avg=0 (-0.4)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0031235,Odell Beckham Jr.,WR,NYG,TEN,1,2.5,38.5,20.5,4.0,False,0.05,0.10500000000000001,0.10500000000000001,,,105,2,0.92,-0.06,2.08,0.92,,upcoming,,half_ppr,depth_rank_filled=4 (-1.0); fp_roll=0.2 (-0.6); snap_pct_last=0.05 (-0.5)
2026,3,2026_03_CIN_PIT,2026-09-27,00-0036862,Ben Skowronek,WR,PIT,CIN,1,-3.5,42.5,19.5,5.0,False,0.21,0.10666666666666667,0.105,,,81,2,0.9,-0.08,2.06,0.9,,upcoming,,half_ppr,depth_rank_filled=5 (-0.7); fp_roll=0.233 (-0.6); snap_pct_last=0.21 (-0.4)
2026,3,2026_03_LA_DEN,2026-09-27,00-0039107,Stetson Bennett,QB,LA,DEN,0,-2.5,44.5,23.5,2.0,False,0.16,0.16,0.16,,,37,2,0.9,-0.08,2.06,0.9,,upcoming,,half_ppr,fp_roll=0.473 (-0.7); snap_pct_last=0.16 (-0.6); position_code=0 (-0.4)
2026,3,2026_03_MIN_TB,2026-09-27,00-0041104,Demond Claiborne,RB,MIN,TB,0,-1.5,42.5,22.0,3.0,False,0.04,0.04,0.04,,,2,2,0.9,-0.08,2.06,0.9,,upcoming,,half_ppr,fp_roll=0.35 (-0.5); snap_pct_last=0.04 (-0.5); depth_rank_filled=3 (-0.3)
2026,3,2026_03_LAC_BUF,2026-09-27,00-0038573,Derius Davis,WR,LAC,BUF,0,7.0,50.5,21.75,6.0,False,0.12,0.32,0.15,,,53,2,0.89,-0.09,2.05,0.89,,upcoming,,half_ppr,depth_rank_filled=6 (-1.3); snap_pct_last=0.12 (-0.5); fp_roll=0.4 (-0.5)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0041267,Malik McClain,WR,NYJ,DET,0,6.5,47.5,20.5,4.0,False,0.0,0.0,0.0,,,0,0,0.88,-0.1,2.04,0.88,,upcoming,,half_ppr,depth_rank_filled=4 (-2.0); fp_roll=0 (-0.4); snap_pct_last=0 (-0.4)
2026,3,2026_03_KC_MIA,2026-09-27,00-0040890,Cyrus Allen,WR,KC,MIA,0,-10.5,45.5,28.0,4.0,False,0.04,0.025,0.025,,,2,2,0.85,-0.13,2.01,0.85,,upcoming,,half_ppr,depth_rank_filled=4 (-1.1); snap_pct_last=0.04 (-0.4); fp_roll=0 (-0.3)
2026,3,2026_03_CAR_CLE,2026-09-27,00-0036630,Tylan Wallace,WR,CLE,CAR,1,-2.5,42.5,20.0,5.0,False,0.24,0.18333333333333332,0.265,,,78,2,0.84,-0.14,2.0,0.84,,upcoming,,half_ppr,depth_rank_filled=5 (-1.2); fp_roll=0 (-0.8); snap_pct_last=0.24 (-0.3)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0036876,Kylen Granson,TE,TEN,NYG,0,2.5,38.5,18.0,4.0,False,0.0,0.32,0.0,,,87,2,0.84,-0.14,2.0,0.84,,upcoming,,half_ppr,depth_rank_filled=4 (-0.5); snap_pct_last=0 (-0.5); fp_season_avg=0 (-0.4)
