season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_ARI_SF,2026-09-27,00-0036972,Mac Jones,QB,SF,ARI,1,8.5,47.5,28.0,2.0,False,0.15,0.08666666666666667,0.15,,,87,2,0.89,-0.2,2.19,0.89,,upcoming,,ppr,fp_roll=-0.0667 (-0.9); fp_season_avg=-0.1 (-0.9); position_code=0 (-0.6)
2026,3,2026_03_NE_JAX,2026-09-27,00-0038476,Tommy DeVito,QB,NE,JAX,0,3.0,46.5,21.75,2.0,False,0.0,0.0,0.0,,,48,2,0.88,-0.22,2.17,0.88,,upcoming,,ppr,position_code=0 (-1.8); fp_roll=0 (-0.7); fp_season_avg=0 (-0.7)
2026,3,2026_03_CAR_CLE,2026-09-27,00-0031595,Michael Burton,RB,CLE,CAR,1,-2.5,42.5,20.0,,False,0.17,0.14500000000000002,0.14500000000000002,,,10,0,0.86,-0.24,2.16,0.86,,upcoming,,ppr,depth_rank_filled=9 (-1.0); fp_season_avg=0 (-0.8); fp_roll=0 (-0.7)
2026,3,2026_03_LV_NO,2026-09-27,00-0041562,Fernando Mendoza,QB,LV,NO,0,3.0,43.5,20.25,2.0,False,0.0,0.0,0.0,,,2,2,0.85,-0.25,2.15,0.85,,upcoming,,ppr,position_code=0 (-1.8); fp_roll=0 (-0.7); fp_season_avg=0 (-0.7)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0034959,Andrew Beck,RB,NYJ,DET,0,6.5,47.5,20.5,4.0,False,0.05,0.14333333333333334,0.09,,,9,0,0.85,-0.25,2.15,0.85,,upcoming,,ppr,depth_rank_filled=4 (-1.0); fp_roll=0 (-0.7); fp_season_avg=0 (-0.7)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0037755,Jelani Woods,TE,NYJ,DET,0,6.5,47.5,20.5,5.0,False,0.28,0.29000000000000004,0.26,,,36,2,0.85,-0.25,2.15,0.85,,upcoming,,ppr,fp_season_avg=0 (-0.9); fp_roll=0 (-0.9); depth_rank_filled=5 (-0.3)
2026,3,2026_03_NE_JAX,2026-09-27,00-0041106,C.J. Williams,WR,JAX,NE,1,3.0,46.5,24.75,6.0,False,0.18,0.18,0.18,,,2,2,0.85,-0.25,2.15,0.85,,upcoming,,ppr,depth_rank_filled=6 (-0.9); fp_season_avg=0 (-0.8); fp_roll=0 (-0.7)
2026,3,2026_03_LV_NO,2026-09-27,00-0039407,Dylan Laube,RB,LV,NO,0,3.0,43.5,20.25,3.0,False,0.13,0.09333333333333334,0.14,,,36,2,0.84,-0.26,2.14,0.84,,upcoming,,ppr,fp_season_avg=0 (-0.8); fp_roll=0 (-0.7); depth_rank_filled=3 (-0.4)
2026,3,2026_03_ARI_SF,2026-09-27,00-0036646,Simi Fehoko,WR,ARI,SF,0,8.5,47.5,19.5,5.0,False,0.12,0.16000000000000003,0.1,,,48,2,0.83,-0.27,2.13,0.83,,upcoming,,ppr,fp_season_avg=0 (-0.8); depth_rank_filled=5 (-0.8); fp_roll=0 (-0.7)
2026,3,2026_03_NE_JAX,2026-09-27,00-0038564,Cameron Latu,TE,NE,JAX,0,3.0,46.5,21.75,3.0,False,0.25,0.18333333333333335,0.125,,,18,2,0.82,-0.28,2.12,0.82,,upcoming,,ppr,fp_season_avg=0 (-0.9); fp_roll=0 (-0.9); injury_analog_delta=-1.75 (-0.3)
